target,model,auc_mean,auc_std,acc_mean,acc_std
Player Survival,Model 1 (role+model),0.6357434853845223,0.008239566650876445,0.5988506153212036,0.008648254851648579
Player Survival,Model 2 (+role action),0.7019941025207546,0.007450892855489595,0.6283998609615308,0.01140989812839819
Player Survival,Model 3 (+speech),0.8880418578062745,0.007869240663871343,0.8205197607474648,0.008740452852830961
Player Survival,Model 4 (+vote cast),0.8881011270855034,0.007310792478779195,0.8204324628233547,0.007526635947847114
Player's Team Win,Model 1 (role+model),0.6791908683694401,0.006046501710075607,0.697350025547369,0.0047012393923387165
Player's Team Win,Model 2 (+role action),0.7871102686423735,0.004837465018258531,0.7167885912477943,0.00875365129643071
Player's Team Win,Model 3 (+speech),0.8002387361749621,0.0063095271005615475,0.7318700864051907,0.008513432190907385
Player's Team Win,Model 4 (+vote cast),0.8005809161983068,0.006569924525783431,0.7318700484165379,0.008545681530107204
