role,n_players,win_rate,survive_rate,day_elim_rate,night_elim_rate,avg_votes_cast,avg_votes_received,avg_inspects,inspect_success_rate,avg_heals,heal_success_rate,avg_wolf_votes,wolf_day_consistency_rate
Doctor,1434,0.697350069735007,0.5146443514644351,0.14225941422594143,0.34309623430962344,3.398884239888424,2.694560669456067,0.0,0.0,2.0767085076708507,0.22158298465829845,0.0,0.7234425848442585
Seer,1434,0.697350069735007,0.3898186889818689,0.13110181311018132,0.4790794979079498,3.0223152022315203,4.105997210599721,1.99442119944212,0.4854137610413761,0.0,0.0,0.0,0.7234425848442585
Villager,5736,0.697350069735007,0.548465829846583,0.15777545327754533,0.2937587168758717,3.491283124128312,2.678521617852162,0.0,0.0,0.0,0.0,0.0,0.7234425848442585
Werewolf,2868,0.30264993026499304,0.2583682008368201,0.7416317991631799,0.0,5.970013947001394,7.394002789400279,0.0,0.0,0.0,0.0,2.0467224546722456,0.7234425848442585
